shade_p_size_limit, mean std
0, 0
0, 0
0.2154616591097496, 1.034460551154887
0, 0
0, 0
7.118816496855172, 4.378959756832797
0.005461233292098145, 0.01016389219383918
20.33011122430786, 0.0823036397823924
3.48912868369547, 0.7292820896547525
0.01356222392743076, 0.008893527204191879
0, 0
3.274132646325949, 1.017464618195505
4.062277210482026, 1.553216887103665
0.01224596889367639, 0.02479619712766552
396.5430277204675, 125.2662351432784
0.6588913881759951, 0.1668067981981635
10.12241672175066, 7.182162620951512e-14
17.38882586777191, 1.501988331697133
0.3321638743613852, 0.04421975394731049
2.028781560970727, 0.2733236178838556
400.1938672186129, 0
8.207234639556651, 8.922667478733674
419.5423930980921, 164.9053278168863
198.5422472854807, 11.40704211253641
199.0828598884461, 7.773434768803253
121.8613222093519, 36.22577576602269
300.0000511341336, 0.0003352506672674654
296.078431372549, 27.7296776935901